Curso;Part.Prdo;NRC;Nivel;Grupo;Cupo Actual;Cupo Min.;Cupo Mat.;Cupo Dispo.;Cred.Cobr.;Tipo Horario;Met.Educativo;DÌas;Horas;Edificios;Aula;Profesor
LLM416 FONETICA Y FONOLOGIA;1;50070;3;82;25;20;19;6;3;CTP;PRE;J;0800-1120;S101RB;C001;SANDRA PALACIOS PALACIOS
LLM417 EXPRESI”N ORAL:COMERCIO Y ECON;1;50078;3;82;25;20;20;5;3;TLP;PRE;M;1300-1530;S101RB;C002;JUAN MENDEZ VALVERDE
LLM419 LING‹ÕSTICA GENERAL II;1;50081;3;82;25;20;19;6;3;CTP;PRE;I;0800-1120;S101RB;A003;JORGE ALTAMIRANO ALVARADO
LLM420 TALLER DE EXPRESI”N ESCRITA;1;50083;3;82;25;20;18;7;3;CTP;PRE;I;1300-1620;S101RB;C002;LENA BARRANTES ELIZONDO
LLM428 POESÕA,DRAMA Y TRAGEDIA;1;50088;4;81;25;20;21;4;3;CTP;PRE;V;0800-1120;S101RB;;JOSEPH MONTENEGRO BONILLA
LLM430 DIACRONÕA DE LA LENGUA INGLESA;1;50090;4;81;25;20;19;6;3;CTP;PRE;J;0800-1120;S101RB;A003;JORGE ALTAMIRANO ALVARADO
LLM432 INTRODUC A LA LITERATURA INGLE;1;50086;3;82;25;20;17;8;3;CTP;PRE;M;0800-1120;S101RB;C002;VERONICA BRENES SANCHEZ
LLM433 EXPRESION ORAL AVANZADA;1;50092;4;81;25;20;17;8;3;CTP;PRE;M;1300-1620;S101RB;;CINTHIA OLIVARES GARITA
LLM444O TALL D/ TRADU P/PROPOS ESPECIF;1;50050;0;80;30;30;30;10;3;CTP;PRE;L;1400-1630;S101RB;C003;NOELIA JIMENEZ VALVERDE
LLM446O TALLER DE INICIAC EN LA TRADUC;1;50095;0;81;25;30;7;18;3;CTP;PRE;I;0800-1030;S101RB;A004;NOELIA JIMENEZ VALVERDE
